gene,viewField,nucleusIDX,nascentRNA,PCNA,Ratio
APEX1,0,69,18407209,17356581,0.08478810875882477
APEX1,0,70,21965359,18149166,0.27532682464647
APEX1,0,71,12450425,11267953,0.1439695388968211
APEX1,0,72,25750097,27721286,-0.10641631924329231
APEX1,0,73,10853659,8365852,0.37559710729453355
APEX1,0,74,7168299,13015350,-0.8605113876080979
APEX1,0,75,11582501,15315500,-0.4030456599582545
APEX1,0,76,11075107,10935071,0.018358049517678478
APEX1,0,77,10469917,15907619,-0.6034679086014952
APEX1,0,78,8619044,6580000,0.38944027457129765
APEX1,0,79,16770856,13289260,0.3356955555424774
APEX1,0,80,20643901,14726453,0.4873056311486146
APEX1,0,81,17087014,8024340,1.0904456634278787
APEX1,0,82,6255146,7172907,-0.1975143672801939
APEX1,0,83,18795569,14135341,0.41108590381709564
APEX1,0,84,10398500,11450149,-0.1389909397919642
APEX1,0,85,6585380,9274654,-0.49402677004170964
APEX1,0,86,9483558,11118123,-0.22941291800891728
APEX1,0,87,25886791,22866752,0.17896467626955548
APEX1,0,88,9848103,10368807,-0.07433215609924086
APEX1,0,89,8245049,5796655,0.5083074444015275
APEX1,0,90,25897021,22400048,0.20928432681817508
APEX1,0,91,8230178,8816417,-0.09926882910304861
APEX1,0,92,10017325,15801143,-0.6575316152527394
APEX1,0,93,12831285,11384370,0.17261120125171617
APEX1,0,94,12035640,9340462,0.3657470440274717
APEX1,0,95,16694295,13540627,0.3020606250940948
APEX1,0,96,12732002,10304825,0.30513928395814605
APEX1,0,97,14145076,5207083,1.4417526198702957
APEX1,0,98,12425761,11775271,0.07757394764121331
APEX1,0,99,27097923,19603776,0.46705070902557855
APEX1,0,100,23662394,16641830,0.5077819565989966
APEX1,0,101,13888814,10402864,0.4169426396090241
APEX1,0,102,14735154,12757036,0.20796896958124395
APEX1,0,103,13751600,16707888,-0.28092989154237946
APEX1,0,104,9802780,12818975,-0.38701805865106004
APEX1,0,105,16843821,15270698,0.14145344211765115
APEX1,0,106,11903015,15180332,-0.3508762930307706
APEX1,0,107,6588454,7121961,-0.11233456316065564
APEX1,0,108,18407231,6720564,1.453618402006257
APEX1,0,109,42960436,35864369,0.2604573870008229
APEX1,0,110,26193729,22648629,0.20979773813660277
